feature,coef,odds_ratio
Contract_infrequent_sklearn,0.8402893504510658,2.317037315587398
StreamingMovies_infrequent_sklearn,0.8278071424015547,2.28829532866506
InternetService_infrequent_sklearn,0.8192911851125442,2.2688910436814704
Contract_Month-to-month,0.6928432870833386,1.9993923053886777
InternationalCallingPlan_No,0.6597357620165105,1.934281156316426
MonthlyCharges,0.6096520356316346,1.8397911056385006
PaperlessBilling_Yes,0.526964148741772,1.6937824239290233
DeviceProtection_No,0.43759737335302806,1.548981120776492
GamingBundle_infrequent_sklearn,0.42894018771791165,1.5356291821646042
InternationalCallingPlan_Yes,0.42019650795048263,1.5222606625521244
AutoRenewal_Yes,0.3984947864620251,1.4895808720520691
OnlineSecurity_No internet service,0.39718552495623693,1.487631897293752
CustomerSatisfactionScore_1.0,0.3950164106311874,1.4844085508022917
MultipleLines_No phone service,0.38104501107095595,1.4638134917398533
DiscountApplied_ Yes  ,0.37868125425798893,1.460357478822042
TechSupport_infrequent_sklearn,0.3488679980262688,1.4174620702011882
OnlineBackup_No internet service,0.3459436241388945,1.4133229362741442
AnnualIncomeBracket_>150k,0.3443939249668286,1.4111344071088479
StreamingTV_No internet service,0.3042913207969305,1.3556639316660881
DeviceProtection_infrequent_sklearn,0.30209058412051937,1.3526837528280289
LoyaltyProgramMember_No,0.29805835222229177,1.3472404000572387
EducationLevel_HighSchool,0.2562305707244487,1.2920506026412668
BillingCycle_infrequent_sklearn,0.24177384333143442,1.2735061483379269
BillingCycle_Semiann,0.23946584103163043,1.2705702825145335
PaymentMethod_Electronic check,0.2378015957529207,1.2684575005019842
TechSupport_No internet service,0.23330082307799757,1.2627612899345133
CloudStoragePlan_infrequent_sklearn,0.22379735363655293,1.2508175201220848
PaperlessBilling_No,0.21170991370444192,1.235789347523689
PhoneService_infrequent_sklearn,0.1942863132040923,1.214443944520756
OnlineSecurity_No,0.16594054839074104,1.1805029168388534
DiscountApplied_Yes,0.16433220006144295,1.1786057829798169
InternetService_Fiber optic,0.16000945282491172,1.1735219640370358
PhoneService_No,0.1453621652551533,1.156458323458306
PaymentMethod_Mailed check,0.13799801688110372,1.1479732737044297
BillingCycle_Monthly,0.12203101757711048,1.129789144558755
SmartHomePackage_ Yes  ,0.11992672314231277,1.1274142351800118
DeviceProtection_Yes,0.1189861093168927,1.126354272349423
CustomerSatisfactionScore_2.0,0.11499923610140983,1.1218725805747285
Partner_No,0.09179880649946001,1.0961442627926854
OnlineBackup_No,0.08766981349050275,1.0916276218012035
SmartHomePackage_infrequent_sklearn,0.08620666934572213,1.0900315811415897
EmploymentStatus_Self-employed,0.05415599714387478,1.0556492675817541
AutoRenewal_No,0.05070122135395276,1.0520085286390042
DiscountApplied_No,0.045455221650767624,1.046504142836779
Dependents_Yes,0.033276710264541376,1.0338365728568295
StreamingTV_Yes,0.023421311315745815,1.0236977441486634
PaymentMethod_Bank transfer (automatic),0.022792749131895582,1.02305448864322
StreamingMovies_Yes,0.00396267247132419,1.0039705342389884
gender_male,-0.027844769440277223,0.9725393229078908
Contract_One year,-0.029685149267939543,0.9707511271408295
SeniorCitizen,-0.036019627372428246,0.9646213603146284
StreamingMovies_ Yes  ,-0.05843723739366142,0.9432374385819726
EducationLevel_College,-0.059351666413178905,0.9423753091340055
HouseholdSize,-0.059835459308275725,0.9419195049212419
EmploymentStatus_Employed,-0.06275832107279797,0.9391704239640026
CustomerSatisfactionScore_4.0,-0.06426482743624462,0.9377566229614358
PaymentMethod_infrequent_sklearn,-0.09885009523575912,0.9058784933478369
gender_female,-0.10001655791706332,0.9048224359370725
MultipleLines_infrequent_sklearn,-0.11436350868004752,0.8919336713143021
BillingCycle_Annual,-0.11576123869669201,0.8906878597060134
StreamingTV_No,-0.11591335881105148,0.890552378471908
