iter	Logloss
164	0.4661155896
165	0.4656593104
166	0.4653493075
167	0.465174943
168	0.4646699953
169	0.4641529943
170	0.4639701961
171	0.4633114724
172	0.4629439056
173	0.46242124
174	0.4622273239
175	0.4617786799
176	0.4612978769
177	0.4611710741
178	0.4611447545
179	0.4607856114
180	0.4605496694
181	0.4604188543
182	0.4602135983
183	0.4596822554
184	0.4593733677
185	0.4592118021
186	0.4591085836
187	0.4587238673
188	0.4581590936
189	0.4576261439
190	0.4574437074
191	0.4567309884
192	0.4565289115
193	0.4561368065
194	0.4556269259
195	0.4552809812
196	0.454967811
197	0.45445183
198	0.4539556565
199	0.4538541465
200	0.4534090512
201	0.4534090356
202	0.4530386271
203	0.4527529383
204	0.4527108054
205	0.4524074018
206	0.4523084927
207	0.4518041892
208	0.4515346913
209	0.4514247416
210	0.451273762
211	0.4506070029
212	0.449967734
213	0.449851882
214	0.4496983821
215	0.4495160255
216	0.4493681791
217	0.4493270794
218	0.4490362434
219	0.4487643012
220	0.4487584019
221	0.4486872165
222	0.4486872165
223	0.4485036523
224	0.448501962
225	0.4484962995
226	0.447776647
227	0.4475482353
228	0.4475482353
229	0.4467584253
230	0.4464359453
231	0.4464191373
232	0.4462812332
233	0.4458591843
234	0.4457129924
235	0.4455933858
236	0.4451347439
237	0.4448574938
238	0.4447038775
239	0.444176943
240	0.4441248934
241	0.4441183621
242	0.4440597523
243	0.4440597518
244	0.4438018644
245	0.4435683265
246	0.4433319013
247	0.4429666385
248	0.4429666371
249	0.4427340308
250	0.4427290926
251	0.4423744859
252	0.4421885062
253	0.4418722595
254	0.441269646
255	0.4411721015
256	0.4410083196
257	0.4407790614
258	0.440517688
259	0.4402545054
260	0.4399717727
261	0.439846702
262	0.4396520893
263	0.4393536963
264	0.4391034569
265	0.4389845888
266	0.4385649039
267	0.4381821437
268	0.4379777011
269	0.4374436185
270	0.436997088
271	0.4369284121
272	0.4365021406
273	0.4362914734
274	0.4362883063
275	0.4360369707
276	0.4359551658
277	0.4359547323
278	0.4355235108
279	0.4352221986
280	0.4352180261
281	0.4350791256
282	0.4348643553
283	0.434563449
284	0.4339347187
285	0.4337128332
286	0.4335807075
287	0.4333558536
288	0.4327347479
289	0.4326189514
290	0.4324211443
291	0.4318466878
292	0.4315999183
293	0.4312844703
294	0.431237411
295	0.4305473281
296	0.4305436763
297	0.4304162845
298	0.4301697249
299	0.430138288
300	0.4299037275
301	0.4293726333
302	0.4290897727
303	0.4289179393
304	0.4287265818
305	0.4283141507
306	0.428236206
307	0.428083126
308	0.4275932818
309	0.427191769
310	0.4268888036
311	0.4263209552
312	0.4262352063
313	0.4261116868
314	0.4255407513
315	0.4250821986
316	0.4245964758
317	0.4241805525
318	0.4236707789
319	0.4232302255
320	0.4229101493
321	0.4225394723
322	0.4222273942
323	0.4220262194
324	0.4215688699
325	0.4214434429
326	0.4212516212
327	0.4211210629
328	0.4208915975
329	0.4203919779
330	0.4202830626
331	0.4197756328
332	0.4197265187
333	0.4193256463
334	0.4191038088
335	0.4188585651
336	0.4188199237
